event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
380153,1834.0,UK Government No Confidence Vote,2019-01-16 19:00:00,United Kingdom,GBP,High Volatility Expected,,,,uk-government-no-confidence-vote-1834,UK Government No Confidence Vote
382825,1646.0,Annual Budget Release,2019-03-13 12:30:00,United Kingdom,GBP,High Volatility Expected,,,,annual-budget-release-1646,United Kingdom Annual Budget Release
382409,1740.0,Spring Forecast Statement,2019-03-13 12:30:00,United Kingdom,GBP,High Volatility Expected,,,,spring-forecast-statement-1740,United Kingdom Spring Forecast Statement
382818,1842.0,UK Parliament vote on No Brexit Deal,2019-03-13 19:00:00,United Kingdom,GBP,High Volatility Expected,,,,uk-parliament-vote-on-no-brexit-deal-1842,UK Parliament vote on No Brexit Deal
383417,1846.0,UK Parliament vote on Extension of Brexit Date,2019-03-14 17:00:00,United Kingdom,GBP,High Volatility Expected,,,,uk-parliament-vote-on-extension-of-brexit-date-1846,UK Parliament vote on Extension of Brexit Date
383580,1647.0,EU Leaders Summit,2019-03-22 10:00:00,Euro Zone,EUR,High Volatility Expected,,,,eu-leaders-summit-1647,EU Leaders Summit
384172,1815.0,UK Parliament vote on Brexit deal,2019-03-29 19:00:00,United Kingdom,GBP,High Volatility Expected,,,,uk-parliament-vote-on-brexit-deal-1815,UK Parliament vote on Brexit deal
386932,1649.0,Inflation Report Hearings,2019-06-26 09:15:00,United Kingdom,GBP,High Volatility Expected,,,,inflation-report-hearings-1649,U.K. Inflation Report Hearings
389376,1876.0,PBOC Gov Yi speaks,2019-07-01 07:00:00,China,CNY,High Volatility Expected,,,,pboc-gov-yi-speaks-1876,People's Bank of China's Governor Yi Gang Speaks
389515,1836.0,Fed Monetary Policy Report,2019-07-05 15:00:00,United States,USD,High Volatility Expected,,,,fed-monetary-policy-report-1836,U.S. Federal Reserve Monetary Policy Report
390537,1695.0,U.K. Prime Minister May Speaks,2019-07-24 16:00:00,United Kingdom,GBP,High Volatility Expected,,,,u.k.-prime-minister-may-speaks-1695,U.K. Prime Minister May Speaks
394496,1921.0,U.K. Prime Minister Johnson Speaks,2019-10-03 10:30:00,United Kingdom,GBP,High Volatility Expected,,,,u.k.-prime-minister-johnson-speaks-1921,U.K. Prime Minister Boris Johnson Speaks
395885,565.0,ECB President Draghi Speaks,2019-10-28 15:00:00,Euro Zone,EUR,High Volatility Expected,,,,ecb-president-draghi-speaks-565,European Central Bank President Draghi Speaks
