event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
380153,1834.0,UK Government No Confidence Vote,2019-01-16 19:00:00,United Kingdom,GBP,High Volatility Expected,,,,uk-government-no-confidence-vote-1834,Government No Confidence Vote
380855,1732.0,BOJ Board Member Nakaso Speaks,2019-01-31 04:05:00,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-nakaso-speaks-1732,Board Member Nakaso Speaks
382763,1730.0,SNB Gov Board Member Zurbrugg Speaks,2019-03-05 09:00:00,Switzerland,CHF,Moderate Volatility Expected,,,,snb-gov-board-member-zurbrugg-speaks-1730,Swiss National Bank Governor Board Member Zurbrugg Speaks
382772,1781.0,BoC Gov Council Member Patterson Speaks,2019-03-07 17:30:00,Canada,CAD,Low Volatility Expected,,,,boc-gov-council-member-patterson-speaks-1781,BoC Gov Council Member Patterson Speaks
378239,1819.0,NBP Inflation and GDP Projection,2019-03-11 09:00:00,Poland,PLN,Moderate Volatility Expected,,,,nbp-inflation-and-gdp-projection-1819,Central Bank Inflation and GDP Projection
382825,1646.0,Annual Budget Release,2019-03-13 12:30:00,United Kingdom,GBP,High Volatility Expected,,,,annual-budget-release-1646,Annual Budget Release
382409,1740.0,Spring Forecast Statement,2019-03-13 12:30:00,United Kingdom,GBP,High Volatility Expected,,,,spring-forecast-statement-1740,Spring Forecast Statement
382818,1842.0,UK Parliament vote on No Brexit Deal,2019-03-13 19:00:00,United Kingdom,GBP,High Volatility Expected,,,,uk-parliament-vote-on-no-brexit-deal-1842,Parliament vote on No Brexit Deal
383417,1846.0,UK Parliament vote on Extension of Brexit Date,2019-03-14 17:00:00,United Kingdom,GBP,High Volatility Expected,,,,uk-parliament-vote-on-extension-of-brexit-date-1846,Parliament vote on Extension of Brexit Date
383691,1454.0,GDP Annual,2019-03-18 15:03:00,Mauritius,MUR,Low Volatility Expected,3.80%,,3.80%,gdp-annual-1454,GDP Annual
383619,1778.0,ECB's Angeloni Speaks,2019-03-22 08:30:00,Euro Zone,EUR,Low Volatility Expected,,,,ecb's-angeloni-speaks-1778,European Central Bank Angeloni Speaks
