event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
380855,1732,BOJ Board Member Nakaso Speaks,31-01-19 04:05,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-nakaso-speaks-1732,Board Member Nakaso Speaks
382763,1730,SNB Gov Board Member Zurbrugg Speaks,05-03-19 09:00,Switzerland,CHF,Moderate Volatility Expected,,,,snb-gov-board-member-zurbrugg-speaks-1730,Swiss National Bank Governor Board Member Zurbrugg Speaks
378239,1819,NBP Inflation and GDP Projection,11-03-19 09:00,Poland,PLN,Moderate Volatility Expected,,,,nbp-inflation-and-gdp-projection-1819,Central Bank Inflation and GDP Projection
384375,1850,UK Parliament Indicative Votes on Brexit,01-04-19 19:00,United Kingdom,GBP,Moderate Volatility Expected,,,,uk-parliament-indicative-votes-on-brexit-1850,Parliament Indicative Votes on Brexit
386958,1706,ECB's Praet Speaks,22-05-19 09:30,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb's-praet-speaks-1706,European Central Bank Praet Speaks
387174,1587,ECB's Nowotny Speaks,24-05-19 08:30,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb's-nowotny-speaks-1587,ECB's Nowotny Speaks
387336,1840,European Parliament Elections,26-05-19 10:00,Euro Zone,EUR,Moderate Volatility Expected,,,,european-parliament-elections-1840,European Parliament Elections
387946,1718,MPC Member Ramsden Speaks,05-06-19 07:45,United Kingdom,GBP,Moderate Volatility Expected,,,,mpc-member-ramsden-speaks-1718,Monetary Policy Committee (MPC) Member Ramsden Speaks
388696,1728,BoC Gov Council Member Schembri Speaks,17-06-19 18:30,Canada,CAD,Moderate Volatility Expected,,,,boc-gov-council-member-schembri-speaks-1728,Governor Council Member Schembri Speaks
390538,1895,Winner of Conservative Leadership Announced,23-07-19 10:45,United Kingdom,GBP,Moderate Volatility Expected,,,,winner-of-conservative-leadership-announced-1895,Winner of Conservative Leadership Announced
390501,1756,Turkish Late Liquidity Window Rate,25-07-19 11:00,Turkey,TRY,Moderate Volatility Expected,19.75%,,24.00%,turkish-late-liquidity-window-rate-1756,Late Liquidity Window Rate
390906,1750,French GDP,31-07-19 06:45,France,EUR,Moderate Volatility Expected,1.10%,1.30%,1.20%,french-gdp-1750,Gross Domestic Product (GDP) 
391118,1674,IEA Monthly Report,09-08-19 08:00,United States,USD,Moderate Volatility Expected,,,,iea-monthly-report-1674,International Energy Agency (IEA) Monthly Oil Market Report
391457,1798,CPIH,14-08-19 08:30,United Kingdom,GBP,Moderate Volatility Expected,2.00%,1.80%,1.90%,cpih-1798,Consumer Prices Index Including Owner Occupiers’ Housing Costs (CPIH) 
391829,289,Adjusted Trade Balance,18-08-19 23:50,Japan,JPY,Moderate Volatility Expected,-0.13T,-0.15T,-0.03T,adjusted-trade-balance-289,Adjusted Trade Balance
391866,1677,Jackson Hole Symposium,24-08-19 16:30,United States,USD,Moderate Volatility Expected,,,,jackson-hole-symposium-1677,Jackson Hole Symposium
392348,1737,BoJ Board Member Suzuki Speaks,29-08-19 01:30,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-suzuki-speaks-1737,Board Member Suzuki Speaks
392391,1771,PCE Deflator,30-08-19 12:30,United States,USD,Moderate Volatility Expected,0.20%,,0.10%,pce-deflator-1771,PCE Deflator
392392,1772,PCE Deflator,30-08-19 12:30,United States,USD,Moderate Volatility Expected,1.40%,,1.30%,pce-deflator-1772,PCE Prices 
392683,1751,Cap Goods Ship Non Defense Ex Air,05-09-19 14:00,United States,USD,Moderate Volatility Expected,-0.60%,,-0.70%,cap-goods-ship-non-defense-ex-air-1751,Capital Goods Ship Non Defense ex Air 
393999,1962,UK Supreme Court Decision,24-09-19 09:30,United Kingdom,GBP,Moderate Volatility Expected,,,,uk-supreme-court-decision-1962,Supreme Court Decision
382922,1832,SARB Monetary Policy Review,01-10-19 08:00,South Africa,ZAR,Moderate Volatility Expected,,,,sarb-monetary-policy-review-1832, Reserve Bank Monetary Policy Review 
394266,1733,BOJ Board Member Funo Speaks,03-10-19 01:00,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-funo-speaks-1733,Board Member Funo Speaks
378790,1824,BOK Financial Stability Board Meeting Minutes,11-10-19 01:00,South Korea,KRW,Moderate Volatility Expected,,,,bok-financial-stability-board-meeting-minutes-1824,Financial Stability Board Meeting Minutes
395163,1770,BoE Deputy Governor Woods Speaks,15-10-19 08:30,United Kingdom,GBP,Moderate Volatility Expected,,,,boe-deputy-governor-woods-speaks-1770,Deputy Governor Woods Speaks
395577,1964,Canadian Federal Election,21-10-19 00:00,Canada,CAD,Moderate Volatility Expected,,,,canadian-federal-election-1964,Canadian Federal Election
395889,1703,ECB's Lautenschlaeger Speaks,30-10-19 17:30,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb's-lautenschlaeger-speaks-1703,European Central Bank Lautenschlaeger Speaks
379532,1805,CBRT Inflation Report,31-10-19 07:30,Turkey,TRY,Moderate Volatility Expected,,,,cbrt-inflation-report-1805,Inflation Report
395891,573,SNB Chairman Thomas Jordan speaks,31-10-19 15:30,Switzerland,CHF,Moderate Volatility Expected,,,,snb-chairman-thomas-jordan-speaks-573,speaks
396709,1841,Spanish General Election,10-11-19 10:00,Spain,EUR,Moderate Volatility Expected,,,,spanish-general-election-1841,Spanish General Election
