prefix,friendly_name,event_type_ids
Government No Confidence Vote,['Government No Confidence Vote'],1834
Spring Forecast Statement,['Spring Forecast Statement'],1740
Leaders Summit,['Leaders Summit'],1647
Brexit,['Brexit'],1842 1846  1815 
Mid-Year Economic and Fiscal Outlook,['Mid-Year Economic and Fiscal Outlook'],1749
General Election,['General Election'],1709
Fed Chair Powell Testifies,['Fed Chair Powell Testifies'],1739
Tankan Large Manufacturers Index,['Tankan Large Manufacturers Index'],279
Tankan Large Non-Manufacturers Index,['Tankan Large Non-Manufacturers Index'],280
Loan Prime Rate,['Loan Prime Rate'],1967
Quarterly Outlook Report,['Quarterly Outlook Report'],1668
Euro Zone Deposit Facility Rate,['Euro Zone Deposit Facility Rate'],1655
Euro Zone Marginal Lending Facility Rate,['Euro Zone Marginal Lending Facility Rate'],1744
Monetary Policy,['Monetary Policy'],1836 1689  1610  326  1669  1845 
Employment Change QoQ,['Employment Change QoQ'],93
Inflation Report,['Inflation Report'],1649 15 
MPC,"['MPC', 'Monetary Policy', 'Monetary Policy (MPC)']",216 212 
Unemployment Rate,['Unemployment Rate'],300
Meeting Minutes,['Meeting Minutes'],391 1785 
Rate Statement,['Rate Statement'],387 399 
Press Conference,['Press Conference'],1688 1767  1791  370  396  1761 
Manufacturing Production MoM,['Manufacturing Production MoM'],205
PPI,"['PPI', 'Producer Price Index', 'Producer Price Index (PPI)']",238
Crude Oil,['Crude Oil'],75
Annual Budget,['Annual Budget'],1646 1861 
Initial Jobless Claims,['Initial Jobless Claims'],294
Speaks,['Speaks'],1876 1695  1921  565  1034  1694  1965  1738  1776  1033 
Industrial Production YoY,['Industrial Production YoY'],462
JOLTs Job Openings,['JOLTs Job Openings'],1057
Average Earnings Index +Bonus,['Average Earnings Index +Bonus'],7
Claimant Count Change,['Claimant Count Change'],39
ZEW Economic Sentiment,['ZEW Economic Sentiment'],144
Building Permits,['Building Permits'],25
One-Week Repo Rate,['One-Week Repo Rate'],409
Overnight Borrowing Rate,['Overnight Borrowing Rate'],1068
Philadelphia Fed Manufacturing Index,['Philadelphia Fed Manufacturing Index'],236
Retail Sales MoM,['Retail Sales MoM'],262 63  256  258  65 
Ifo Business Climate Index,['Ifo Business Climate Index'],132
CB Consumer Confidence,['CB Consumer Confidence'],48
Core Durable Goods Orders MoM,['Core Durable Goods Orders MoM'],59
Home Sales,['Home Sales'],99 222  232 
CPI,"['CPI', 'Consumer Price Index', 'Consumer Price Index (CPI)']",72 73  56  67  57  68 
Unemployment Change,['Unemployment Change'],332
PMI,"['PMI', 'Purchasing Managers Index', 'Purchasing Managers Index (PMI)']",176 44  185  594  753  204  173  136  1934  274 
Employment Change,['Employment Change'],95 94  1 
Nonfarm Payrolls,['Nonfarm Payrolls'],227
GDP,"['GDP', 'Gross Domestic Product', 'Gross Domestic Product (GDP)']",125 461  1792  728  121  1800  119  131  123  124  375 
Autumn Budget,['Autumn Budget'],1680
FOMC,"['FOMC', 'Federal Open Market Committee', 'Federal Open Market Committee (FOMC)']",108 398  1692  1061 
Interest Rate Decision,['Interest Rate Decision'],169 597  166  554  164  170  167  171  168 
