event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous
9,,Zimbabwe - New Year's Day,2019-01-01 00:00:00,Zimbabwe,ZWL,Holiday,,,
9,,United States - New Year's Day,2019-01-01 00:00:00,United States,USN,Holiday,,,
9,,Turkey - New Year's Day,2019-01-01 00:00:00,Turkey,TRY,Holiday,,,
562,,Taiwan - New Year,2019-01-01 00:00:00,Taiwan,TWD,Holiday,,,
9,,Australia - New Year's Day,2019-01-01 00:00:00,Australia,AUD,Holiday,,,
9,,Bahrain - New Year's Day,2019-01-01 00:00:00,Bahrain,BHD,Holiday,,,
9,,Belgium - New Year's Day,2019-01-01 00:00:00,Belgium,EUR,Holiday,,,
9,,Canada - New Year's Day,2019-01-01 00:00:00,Canada,CAD,Holiday,,,
9,,Croatia - New Year's Day,2019-01-01 00:00:00,Croatia,HRK,Holiday,,,
562,,Cyprus - New Year,2019-01-01 00:00:00,Cyprus,EUR,Holiday,,,
9,,France - New Year's Day,2019-01-01 00:00:00,France,EUR,Holiday,,,
456,,Hong Kong - The first day of January,2019-01-01 00:00:00,Hong Kong,HKD,Holiday,,,
562,,Lebanon - New Year,2019-01-01 00:00:00,Lebanon,LBP,Holiday,,,
9,,Malawi - New Year's Day,2019-01-01 00:00:00,Malawi,MWK,Holiday,,,
562,,Mauritius - New Year,2019-01-01 00:00:00,Mauritius,MUR,Holiday,,,
9,,Namibia - New Year's Day,2019-01-01 00:00:00,Namibia,NAD,Holiday,,,
9,,Netherlands - New Year's Day,2019-01-01 00:00:00,Netherlands,EUR,Holiday,,,
9,,Philippines - New Year's Day,2019-01-01 00:00:00,Philippines,PHP,Holiday,,,
744,,Sri Lanka - CSE Customary Holiday,2019-01-01 00:00:00,Sri Lanka,LKR,Holiday,,,
9,,Thailand - New Year's Day,2019-01-01 00:00:00,Thailand,THB,Holiday,,,
9,,South Korea - New Year's Day,2019-01-01 00:00:00,South Korea,KRW,Holiday,,,
9,,Singapore - New Year's Day,2019-01-01 00:00:00,Singapore,SGD,Holiday,,,
9,,Portugal - New Year's Day,2019-01-01 00:00:00,Portugal,EUR,Holiday,,,
9,,Romania - New Year's Day,2019-01-01 00:00:00,Romania,RON,Holiday,,,
9,,United Kingdom - New Year's Day,2019-01-01 00:00:00,United Kingdom,GBP,Holiday,,,
9,,Switzerland - New Year's Day,2019-01-01 00:00:00,Switzerland,CHF,Holiday,,,
9,,Iceland - New Year's Day,2019-01-01 00:00:00,Iceland,ISK,Holiday,,,
